Name,Address 1,Address 2,Address 3,City,Country,PostCode
Abbey Gisburne Park MRI Centre,Gisburne Park Estate,Gisburne,,Clitheroe,,BB7 4HX
Abbey King's Park Hospital,Polmaise Road,,,Stirling,,FK7 9PU
Abbey Sefton Hospital,Haigh Road,,,Liverpool,,L22 3XS
Acton Hospital,46 Gunnersbury Lane,,,London,,W3 8EG
Addenbrooke's Hospital,Hills Rd  ,,,Cambridge,,CB2 0QQ
Antrim Hospital,United Hospitals H&SS Trust,45 Bush Road,,Antrim,,BT41 2RL
Ashford & St Peter's MRI Centre,"Departmental Block, Level 2",St Peter's Hospital,Guildford Road,Chertsey,,KT16 0PZ
Ashtead Hospital,The Warren,,,Ashtead,,KT21 2SB
Atkinson Morley MRI Centre,Atkinson's Morley Hospital,Copse Hill,Wimbledon,London,,
Barbican Physiotherapy Clinic,1 The Postern,Wood Street,Barbican,London,,EC2Y 8BJ
Barnet MRI Centre,Barnet General Hospital,Wellhouse lane,,Barnet,,EN5 3DJ
Barts Health NHS Trust,80 Newark St  ,,,London,,E1 2ES
Basildon and Thurrock General Hospitals NHS Trust,Orsett Hospital,Rowley Road,,Orsett,,RM16 3EU
Basildon and Thurrock University Hospitals NHS Foundation Trust,Nethermayne  ,,,Basildon,,SS16 5NL
Battle Hospital,Royal Berkshire & Battle NHS Trust,Oxford Road,,Reading,,RG30 1AG
Bedford Hospital,Bedford Hospital NHS Trust,Kempston Road,,Bedford,,MK42 9DJ
Birmingham Children's Hospital NHS Trust,Steelhouse Lane,,,Birmingham,,B4 6NH
Birmingham Nuffield Hospital,22 Somerset Road,Edgbaston,,Birmingham,,B15 2QQ
Bishop Auckland MRI Centre,Bishop Auckland General Hospital,Cockton Hill Road,,Bishop Auckland,,DL14 6AD
Blackberry Orthopaedic Clinic,Blackberry Court,Walnut Tree,,Milton Keynes,,MK7 7PB
Blossoms Inn Medical Centre,21/26 Garlick Hill,,,London,,EC4V 2AU
Blossoms Inn Medical Centre at,Docklands Healthcare,2 Upper Bank Street,Canary Wharf,London,,E14 5EE
BMI Albyn Hospital,21-24 Albyn Place,,,Aberdeen,,AB10 1RW
BMI Bath Clinic,Claverton Down Road,Combe Down,,Bath,,BA2 7BR
BMI Bishops Wood Hospital,Riskmansworth Road,,,Northwood,,HA6 2JW
BMI Chatsworth Suite,Chesterfield & North,Derbyshire Royal Hospital,Calow,Chesterfield,,S44 5BL
BMI Chelsfield Park Hospital,Bucks Cross Road,Chelsfield,,Orpington,,BR6 7RG
BMI Fawkham Manor Hospital,Manor Lane,Fawkham,,Longfield,,DA3 8ND
BMI Fernbrae Hospital,329 Perth Road,,,Dundee,,DD2 1LJ
BMI Goring Hall Hospital,Bodiam Avenue,Goring-By-Sea,,Worthing,,BN12 5AT
BMI McIndoe Surgical Centre,Holtye Road,,,East Grinstead,,RH19 3EB
BMI Meriden Wing,Walsgrave Hospital,Clifford Bridge Road,Walsgrave,Coventry,,CV2 2DX
BMI Ross Hall Hospital,221 Crookston Road,,,Glasgow,,G52 3NQ
BMI Sarum Road Hospital,Sarum Road,,,Winchester,,SO22 5HA
BMI The Alexandra Hospital - Cheadle,Mill Lane,,,Cheadle,,SK8 2PX
BMI The Beardwood Hospital,Preston New Road,,,Blackburn,,BB2 7AE
BMI The Beaumont Hospital,Old Hall Clough,Chorley New Road,Lostock,Bolton,,BL6 4LA
BMI The Chaucer Hospital,Nackington Road,,,Canterbury,,CT4 7AR
BMI The Chiltern Hospital,London Road,,,Great Missenden,,HP16 0EN
BMI The Clementine Churchill Hospital,Sudbury Hill,,,Harrow,,HA1 3RX
BMI The Droitwich Spa Hospital,St Andrews Road,,,Droitwich Spa,,WR9 8DN
BMI The Esperance Hospital,Hartington Place,,,Eastbourne,,BN21 3BG
BMI The Foscote Private Hospital,2 Foscote Rise,,,Banbury,,OX16 9XP
BMI The Garden Hospital,46-50 Sunny Gardens Road,Hendon,,London,,NW4 1RX
BMI The Hampshire Clinic,Basing Road,Old Basing,,Basingstoke,,RG24 7AL
BMI The Harbour Hospital,St Marys Road,,,Poole,,BH15 2BH
BMI The Highfield Hospital,Manchester Road,,,Rochdale,,CL11 4LZ
BMI The Kings Oak Hospital,Chase Farm (North Side),The Ridgefield,,Enfield,,EN2 8SD
BMI The Manchester Lifestyle Hospital,Victoria Park,108-122 Daisy Bank Road,,Manchester,,M14 5QH
BMI The Manor Hospital,Church End,Biddenham,,Bedford,,MK40 4AW
BMI The Nuneaton Private Hospital,132 Coventry Road,,,Nuneaton,,CV10 7AD
BMI The Paddocks Hospital,Aylesbury Road,,,Princes Risborough,,HP27 OJS
BMI The Park Hospital,Sherwood Lodge Drive,Burnstump Country Park,Arnold,Nottingham,,NG5 8RX
BMI The Princess Margaret Hospital,Osborne Road,,,Windsor,,SL4 3SJ
BMI The Priory Hospital,Priory Road,Edgbaston,,Birmingham,,B5 7UG
BMI The Runnymede Hospital,Guilford Road,Ottershaw,,Chertsey,,KT16 ORQ
BMI The Sandringham Hospital,Gaytom Road,Kings Lynn,,Norfolk,,PE30 4HJ
BMI The Saxon Clinic,Saxon Street,Eaglestone West,,Milton Keynes,,MK6 5LR
BMI The Shelburne Hospital,Queen Alexandra Road,,,High Wycombe,,HP11 2TR
BMI The Sloane Hospital,125-133 Albermarle Road,,,Beckenham,,BR3 5HS
BMI The Somerfield Hospital,63 - 77 London Road,,,Maidstone,,ME16 ODU
BMI The South Cheshire,Private Hospital,Leighton,,Crewe,,CW1 4QP
BMI The Winterbourne Hospital,Herringston Road,,,Dorchester,,DT1 2DR
BMI Thornbury Hospital,312 Fulwood Road,,,Sheffield,,S10 3BR
BMI Three Shires Hospital,The Avenue,,,Northampton,,NN1 5DR
BMI Werndale Hospital,Bancyfelin,,,Carmarthen,,SA33 5NE
Bournemouth Nuffield Hospital,67 Lansdowne Road,,,Bournemouth,,BH1 1RW
Bristol Nuffield Hospital at St. Mary's,Upper Byron Place,Clifton,,Bristol,,BS8 1JU
Bristol Nuffield Hospital at the Chesterfield,3 Clifton Hill,Clifton,,Bristol,,BS8 1BP
Broadgate Medical Centre,Exchange Arcade,Bishopsgate,,London,,EC2M 3WA
BUPA Alexandra Hospital,Impton Lane,,,Walderslade,,ME5 9PG
BUPA Cambridge Lea Hospital,30 New Road,Impington,,Cambridge,,CB4 9EL
BUPA Dunedin Hospital,16 Bath Road,,,Reading,,RG1 6NB
BUPA Fylde Coast Hospital,St Walburgas Road,,,Blackpool,,FY3 8BP
BUPA Gatwick Park Hospital,Povey Cross Road,,,Horley,,RH6 OBB
BUPA Hartswood Hospital,Eagle Way,,,Brentwood,,CM13 3LE
BUPA Hospital Bristol,The Glen,Redland Hill,Durdham Down ,Bristol,,BS6 6UT
BUPA Hospital Bushey,Heathbourne Road,,,Watford,,WD2 1RD
BUPA Hospital Cardiff,Croescadarn Road,Pentwyn,,Cardiff,,CF2 7XL
BUPA Hospital Clare Park,Crondall Lane,Crondall,,Farnham,,GU10 5XX
BUPA Hospital Elland,Elland Lane,,,Elland,,HX5 9EB
BUPA Hospital Harpenden,Ambrose Lane,,,Harpenden,,AL5 4BP
BUPA Hospital Hastings,The Ridge,,,St. Leonards-on-Sea,,TN37 7RE
BUPA Hospital Hull and East Riding,Lowfield Road,Anlaby,,Hull,,HU10 7AZ
BUPA Hospital Leeds,Jackson Avenue,Roundhay,,Leeds,,LS8 1NT
BUPA Hospital Leicester,Gartree Road,Oadby,,Leicester,,LE2 2FF
BUPA Hospital Little Aston,Little Aston Hall Drive,Little Aston,,Sutton Coldfield,,B74 3UP
BUPA Hospital Manchester,Russell Road,Whalley Range,,Manchester,,M16 8AJ
BUPA Hospital Norwich,Old Watton Road,Colney,,Norwich,,NR4 7TD
BUPA Hospital Portsmouth,Bartons Road,,,Havant,,PO9 5NP
BUPA Hospital Southampton,Chalybeate Close,Tremona Road,,Southampton,,SO16 6UY
BUPA Hospital Tunbridge Wells,Fordcombe Road,Fordcombe,,Tunbridge Wells,,TN3 0RD
BUPA Hospital Washington,Picktree Lane,Rickleton,,Washington,,NE38 9JZ
BUPA Livingstone Clinic,"Gound Flootr, Unit 1C",Deer Park Avenue,Fairways Business park,Livingstone,,EH54 8AF
BUPA Longlands Consulting Rooms,Cullingworth Street,,,Dewsbury,,WF13 4AN
BUPA Methley Park Hospital,Methley Park Hospital,Methley Lane,,Leeds,,LS26 9HG
BUPA Murrayfield Hospital - Edinburgh,122 Corstorphine Road,,,Edinburgh,,EH12 6UD
BUPA Murrayfield Hospital - Wirral,Holmwood Drive,Thingwall,,Wirral,,CH61 1AU
BUPA North Cheshire Hospital,Fir Tree Close,Stretton,,Warrington,,WA4 4LU
BUPA Parkway Hospital,1 Damson Parkway,,,Solihull,,B91 2PP
BUPA Regency Hospital,West Street,Macclesfield,,Cheshire,,SK11 8DW
BUPA Roding Hospital,Roding Lane South,Redbridge,,Ilford,,IG4 5PZ
BUPA South Bank Hospital,139 Bath Road,,,Worcester,,WR5 3YB
BUPA St. Saviours Hospital,73 Seabrook Road,,,Hythe,,CT21 5BU
BUPA Wellesley Hospital,Eastern Avenue,,,Southend-on-Sea,,SS2 4XH
BUPA Yale Hospital,Wrexham Technology Park,Croesnewydd Road,,Wrexham,,LL13 7YP
Bury St Edmunds Nuffield Hospital,St Mary's Square,Bury St Edmunds,,Suffolk,,IP33 2AA
Cadogan Place Practice,29 Cadogan Place,,,London,,SW1X 9RX
Cannock MRI Centre,Cannock Chase Hospital,Brunswick Road,,Cannock,,WS11 2XY
Capio Nightingale Hospital,11-19 Lisson Grove,,,London,,NW1 6SH
Capio Nightingale Hospital - Day Hospital,1B Harewood Row,,,London,,NW1 6SE
Capio Nightingale Hospital - Eating,23-24 Enford Street,,,London,,W1 1DG
